packet_num,hex_data
1,a5 04 02 00 01 fd 00 00 00 00 00 00 00 00 00 00 00 00 00 00
2,a5 2b 22 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
3,00 00 00 83 02 78 00 70 02 7b 00 96 02 75 00 96 02 75 00 66
4,01 37 01 01 3a 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
5,a5 04 02 00 01 fd 00 00 00 00 00 00 00 00 00 00 00 00 00 00
6,a5 2b 22 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
7,00 00 00 a0 01 44 01 db 01 34 01 23 02 07 01 70 02 dc 00 9d
8,02 bc 00 01 10 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
9,a5 04 02 00 01 fd 00 00 00 00 00 00 00 00 00 00 00 00 00 00
10,a5 0b 24 56 02 e0 00 00 0b 03 00 01 95 00 00 00 00 00 00 00
11,a5 2b 22 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
12,00 00 00 dd 02 99 00 0e 03 7f 00 18 03 63 00 24 03 4b 00 f7
13,02 37 00 01 b5 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
14,a5 04 02 00 01 fd 00 00 00 00 00 00 00 00 00 00 00 00 00 00
15,a5 2b 22 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
16,00 00 00 ca 02 24 00 88 02 16 00 1e 02 1a 00 f1 01 1d 00 c7
17,01 22 00 01 1a 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
18,a5 04 02 00 01 fd 00 00 00 00 00 00 00 00 00 00 00 00 00 00
19,a5 16 06 03 00 00 00 00 00 00 00 24 82 03 e0 00 00 11 54 00
20,13 54 01 a1 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
21,a5 2b 22 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
22,00 00 00 98 01 31 00 6c 01 44 00 6d 01 49 00 3d 01 70 00 3e
23,01 8a 00 01 34 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
24,a5 04 02 00 01 fd 00 00 00 00 00 00 00 00 00 00 00 00 00 00
25,a5 2b 22 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
26,00 00 00 1f 01 cb 00 49 01 f0 00 67 01 19 01 8b 01 3c 01 bd
27,01 3c 01 01 72 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
28,a5 0b 24 5b 02 e0 00 00 0b 04 00 01 8f 00 00 00 00 00 00 00
29,a5 2b 22 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
30,00 00 00 04 02 15 01 4e 02 e6 00 9d 02 bc 00 ca 02 9a 00 0c
31,03 79 00 01 42 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
32,a5 2b 22 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
33,00 00 00 2a 03 5f 00 24 03 4b 00 0a 03 34 00 ca 02 24 00 9e
34,02 15 00 01 f9 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
35,a5 04 02 00 01 fd 00 00 00 00 00 00 00 00 00 00 00 00 00 00
36,a5 14 06 04 00 00 00 00 00 00 00 24 24 03 e0 00 00 11 53 00
37,01 66 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
38,a5 2b 22 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
39,00 00 00 4a 02 12 00 08 02 17 00 c7 01 24 00 98 01 31 00 57
40,01 50 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
41,a5 04 02 00 01 fd 00 00 00 00 00 00 00 00 00 00 00 00 00 00
42,a5 2b 22 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
43,00 00 00 48 01 5f 00 1d 01 8a 00 08 01 bc 00 f9 00 02 01 21
44,01 27 01 01 82 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
45,a5 04 02 00 01 fd 00 00 00 00 00 00 00 00 00 00 00 00 00 00
46,a5 05 e0 00 00 01 1f 00 00 00 00 00 00 00 00 00 00 00 00 00
47,a5 2b 22 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
48,00 00 00 4d 01 49 01 7a 01 5f 01 c0 01 44 01 f8 01 24 01 5f
49,02 e0 00 01 05 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
50,a5 04 02 00 01 fd 00 00 00 00 00 00 00 00 00 00 00 00 00 00
51,a5 2b 22 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
52,00 00 00 9d 02 bc 00 ee 02 91 00 1e 03 73 00 2a 03 5f 00 23
53,03 46 00 01 75 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
54,a5 04 02 00 01 fd 00 00 00 00 00 00 00 00 00 00 00 00 00 00
55,a5 17 06 05 00 00 00 00 00 00 00 3a 68 00 24 e2 02 e0 00 00
56,0b 06 00 01 59 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
57,a5 2b 22 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
58,00 00 00 08 03 30 00 c9 02 20 00 89 02 13 00 1e 02 17 00 dc
59,01 20 00 01 e5 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
60,a5 04 02 00 01 fd 00 00 00 00 00 00 00 00 00 00 00 00 00 00
61,a5 2b 22 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
62,00 00 00 af 01 29 00 81 01 39 00 56 01 4d 00 21 01 74 00 0b
63,01 95 00 01 6e 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
64,a5 04 02 00 01 fd 00 00 00 00 00 00 00 00 00 00 00 00 00 00
65,a5 05 e0 00 00 01 1f 00 00 00 00 00 00 00 00 00 00 00 00 00
66,a5 2b 22 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
67,00 00 00 fc 00 ca 00 07 01 f7 00 32 01 23 01 5a 01 40 01 93
68,01 4c 01 01 44 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
69,a5 04 02 00 01 fd 00 00 00 00 00 00 00 00 00 00 00 00 00 00
70,a5 2b 22 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
71,00 00 00 cd 01 3c 01 23 02 07 01 7e 02 d0 00 bf 02 af 00 ee
72,02 91 00 01 64 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
73,a5 17 06 06 00 00 00 00 00 00 00 24 b9 02 e0 00 00 11 52 00
74,0b 08 00 01 be 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
75,a5 2b 22 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
76,00 00 00 0c 03 79 00 2a 03 5f 00 23 03 46 00 e1 02 33 00 b4
77,02 21 00 01 70 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
78,a5 04 02 00 01 fd 00 00 00 00 00 00 00 00 00 00 00 00 00 00
79,a5 2b 22 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
80,00 00 00 73 02 15 00 08 02 1c 00 de 01 1d 00 c8 01 20 00 98
81,01 2f 00 01 80 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
82,a5 04 02 00 01 fd 00 00 00 00 00 00 00 00 00 00 00 00 00 00
83,a5 05 e0 00 00 01 1f 00 00 00 00 00 00 00 00 00 00 00 00 00
84,a5 2b 22 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
85,00 00 00 6c 01 44 00 57 01 52 00 3d 01 70 00 2d 01 94 00 3a
86,01 b3 00 01 24 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
87,a5 2b 22 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
88,00 00 00 6b 01 cd 00 88 01 f3 00 ad 01 14 01 e1 01 13 01 2e
89,02 f1 00 01 4e 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
90,a5 17 06 07 00 00 00 00 00 00 00 3a 6a 00 24 ae 02 e0 00 00
91,0b 0a 00 01 85 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
92,a5 2b 22 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
93,00 00 00 7c 02 ca 00 bf 02 af 00 dd 02 99 00 0c 03 79 00 2c
94,03 64 00 01 92 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
95,a5 2b 22 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
96,00 00 00 10 03 4a 00 f6 02 33 00 c9 02 20 00 89 02 13 00 35
97,02 13 00 01 82 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
98,a5 04 02 00 01 fd 00 00 00 00 00 00 00 00 00 00 00 00 00 00
99,a5 05 e0 00 00 01 1f 00 00 00 00 00 00 00 00 00 00 00 00 00
100,a5 2b 22 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
101,00 00 00 f3 01 1a 00 c7 01 22 00 81 01 39 00 6c 01 44 00 57
102,01 50 00 01 d1 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
103,a5 04 02 00 01 fd 00 00 00 00 00 00 00 00 00 00 00 00 00 00
104,a5 2b 22 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
105,00 00 00 4b 01 62 00 49 01 7b 00 35 01 b0 00 73 01 bb 00 84
106,01 ed 00 01 e3 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
107,a5 04 02 00 01 fd 00 00 00 00 00 00 00 00 00 00 00 00 00 00
108,a5 23 06 08 00 00 00 00 00 00 00 24 a7 02 23 d2 05 0b 0b 00
109,df f7 00 0e f7 00 f7 00 f7 00 39 36 00 1a 00 01 c2 00 00 00
110,a5 2b 22 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
111,00 00 00 c3 01 f5 00 ed 01 04 01 3b 02 e4 00 6b 02 ce 00 bd
112,02 a9 00 01 6d 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
113,a5 04 02 00 01 fd 00 00 00 00 00 00 00 00 00 00 00 00 00 00
114,a5 2b 22 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
115,00 00 00 dd 02 99 00 10 03 84 00 1d 03 6e 00 14 03 54 00 f9
116,02 3c 00 01 9e 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
117,a5 2b 22 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
118,00 00 00 df 02 27 00 88 02 1a 00 49 02 15 00 08 02 17 00 c7
119,01 24 00 01 c4 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
120,a5 04 02 00 01 fd 00 00 00 00 00 00 00 00 00 00 00 00 00 00
121,a5 2b 22 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
122,00 00 00 98 01 31 00 99 01 32 00 6e 01 4b 00 3d 01 70 00 42
123,01 8d 00 01 0f 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
124,a5 04 02 00 01 fd 00 00 00 00 00 00 00 00 00 00 00 00 00 00
125,a5 10 06 09 00 00 00 00 00 00 00 24 fc 02 12 52 01 6a 00 00
126,a5 04 02 00 01 fd 00 00 00 00 00 00 00 00 00 00 00 00 00 00
127,a5 2b 22 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
128,00 00 00 16 02 15 01 51 02 ed 00 9f 02 c2 00 cf 02 a7 00 fe
